Date,Indonesia,India,Korea,Thailand,South_Africa,Brazil,Philippines,USD_EM_Index
4/7/2008,2.156,123.3,-271.33,-38.66,-5.65,-53.40395129,-5.2169,-0.016145049
7/7/2008,-19.507,-74.2,-101.98,-40.97,-10,-135.2222984,-3.4339,-0.11862437
8/7/2008,-13.471,38.9,-266.2,-94.86,-48.04,-273.8731823,-15.0464,-0.035437549
9/7/2008,-47.095,-66.7,-166.47,-111.18,-104.5,0,-1.7045,-0.357624527
10/7/2008,-32.515,-80.2,-266.74,-85,31.93,-497.4317041,6.1355,0.054564075
11/7/2008,12.558,-72.6,-338.22,-33.2,12.18,-304.5751185,3.2922,-0.049784361
14/7/2008,12.939,-49.6,-240.44,-59.65,-26.2,-356.3665454,-4.4221,-0.085513573
15/7/2008,-0.779,-157.6,-275.36,-73.77,16.7,-531.5855652,-3.41,-0.04083656
16/7/2008,62.844,-48.7,-425.28,-110.65,-15.88,-371.6344949,-5.9958,-0.147796309
17/7/2008,-28.027,124.8,-136.11,0,-67.09,-213.6790496,-1.4178,-0.112190276
18/7/2008,-15.273,137.7,-179.1,-82.55,-42.65,78.51889042,-4.1895,-0.003682331
21/7/2008,1.269,-26.2,-216.22,-13.12,-196.18,-173.4804604,-2.8285,0.048752
22/7/2008,29.172,-91.4,-197.91,-15.29,9.64,-522.6779275,-5.0853,-0.123767157
23/7/2008,-35.879,386.4,-283.36,-23.07,-17.5,-209.2261529,-8.2168,-0.23635281
24/7/2008,29.681,132.6,172.45,-12.61,-69.7,-336.2572099,114.707,-0.049375889
25/7/2008,7.827,-129.4,-187.59,-20.43,-34.5,-75.13372721,-0.2766,-0.157920106
28/7/2008,11.307,-144.1,-276.97,-9.86,-80.99,-124.9580952,-6.4227,0.311453988
29/7/2008,4.539,-78.1,-157.53,-12.15,-55.33,-9.507821442,-2.4584,-0.008163142
30/7/2008,0,-92.3,-274.15,-34.72,-42.22,207.9682804,-5.991,-0.037693283
31/7/2008,12.328,140.5,79.74,-8.63,-21.53,-148.986081,-8.7138,0.112813765
1/8/2008,-47.228,-80.8,-111.71,-34.9,0,-237.2050805,-3.5761,-0.102634059
4/8/2008,-33.691,-94.5,-95.02,-23.54,-45.83,-326.5889492,-2.8947,0.008053538
5/8/2008,-83.671,15.2,-578.23,-67.06,-175.43,-34.39216684,-14.1158,0.000782948
6/8/2008,-17.334,387.8,-73.83,9.07,245.94,-168.6601597,-5.8381,0.073458014
7/8/2008,15.733,-4.5,51.28,-24.88,-10.35,42.1219774,-6.1402,0.308671152
8/8/2008,5.631,18.7,-59.66,13.07,35.13,-114.2170841,-4.0484,0.655685436
11/8/2008,-16.134,97.6,-117.48,-12.82,-31.24,-91.70651635,-7.8846,0.032428239
12/8/2008,-18.987,-90.6,153.08,-12.78,-68.04,-133.745126,-11.7483,0.233438369
13/8/2008,0.015,-151.5,-24.73,-38.92,16.83,-41.64805331,-5.796,0.159622236
14/8/2008,43.042,-92.5,43.76,1.58,-72.09,-28.24444444,-9.6746,-0.027118913
15/8/2008,52.419,0,0,-3.58,-41.44,-116.0189197,-4.4582,0.235776572
18/8/2008,0,-262.7,-14.16,1.18,13.5,-79.36616702,0,-0.08979605
19/8/2008,-31.157,-281.6,-373.22,-23.91,39.89,4.325234102,-8.7564,0.218846623
20/8/2008,39.239,-65.3,-397.46,-37.95,-159.03,63.69314325,-4.4233,-0.211470624
21/8/2008,28.443,-63.8,-142.51,-29.07,-13.19,-32.18538943,-8.2871,-0.311365639
22/8/2008,47.424,-26.2,-269.17,-6.96,-161.68,-23.58786159,1.1416,0.091172601
25/8/2008,-7.768,21.6,-83.75,5.55,38.59,-93.40544527,0,0.334286572
26/8/2008,-2.827,-114.8,-302.76,-10.99,47.42,-27.88467412,-6.9155,0.100343076
27/8/2008,2.5,64,-314.4,-26.12,-44.97,30.72367203,-4.6781,-0.10628109
28/8/2008,22.602,32.9,-62.4,0.04,-191.88,46.63980809,-8.6212,0.307652348
29/8/2008,51.253,-58.7,-234.3,-25.72,32.73,-51.40514076,4.3939,0.202717091
1/9/2008,1.595,-38.8,-15.51,-14.56,33.65,-51.52891808,-3.867,0.05818742
2/9/2008,-39.856,302.2,-203.8,-98.84,37.45,-4.828895048,-5.0683,0.804689354
3/9/2008,-58.193,0,8.34,-93.5,-36.66,82.51734035,-5.0144,0.245375767
4/9/2008,-16.443,-89.8,-252.06,-78.02,23.58,18.23768082,-3.0632,0.249632166
5/9/2008,-20.557,-391.4,-224.63,-63.46,-54.61,-211.5473094,-14.1817,0.217245021
8/9/2008,29.47,171.3,-5.85,-36.01,5.14,-111.0313694,-11.1008,-0.240668813
9/9/2008,-27.279,-41.5,-210.92,-26.86,15.27,-164.1562144,-0.2014,0.231944985
10/9/2008,307.506,-192.8,-552.12,-28.97,-73.53,-53.32586535,-9.6978,0.343101461
11/9/2008,5.118,-310.4,82.57,-50.55,-132.17,-24.65508739,-10.4449,0.505246516
12/9/2008,-66.099,-187.1,-369.23,-54.47,-122.19,237.5737101,-16.049,-0.752750513
15/9/2008,8.906,-137,0,-8.51,-46.36,-99.83499807,-17.8906,0.788520914
16/9/2008,35.467,-266.1,-524.23,-63.22,-178.02,-301.7429099,-20.8549,0.400713744
17/9/2008,-1.498,-287.8,97.75,-62.97,-108.01,-140.1661664,-20.8128,0.183041179
18/9/2008,-12.431,-128.2,-453.01,-33.25,-147.12,173.3620465,-5.6577,0.307747331
19/9/2008,85.378,252.2,206.76,41.18,141.79,-621.7190388,-12.1213,-1.137348119
22/9/2008,38.06,24.5,167.3,-1.46,-49.04,148.558799,4.1539,-0.427928122
23/9/2008,-6.104,-189.8,-262.63,-14.87,3.28,-180.4380963,-8.0564,0.381791427
24/9/2008,-43.081,-38.1,4.22,-27.41,0,-23.48354211,-6.081,0.471495428
25/9/2008,5.619,-152.2,-239.05,-19.51,-285.08,-15.33081596,3.1662,-0.118999269
26/9/2008,50.725,-130.1,-177.35,-8.86,70.88,-269.6598566,10.8331,0.379747561
29/9/2008,11.165,82.4,379.62,-38.38,-33.76,-273.0672462,1.1852,0.691565615
30/9/2008,0,18,-143.6,-19.28,14.87,1.027744396,2.3059,0.138921655
1/10/2008,0,-60.5,-128.13,-3.91,-36.5,-240.1473268,0,0.20975693
2/10/2008,0,0,-296.34,-21.88,-157.4,-346.8048015,1.8591,0.717963197
3/10/2008,0,-223.1,0,-20.43,-183.44,-132.3047332,-15.7509,0.09123612
6/10/2008,-12.307,-236.3,-217.78,-64.54,-136.92,-105.3673329,-2.8695,2.214264149
7/10/2008,25.583,-114.2,-103.45,-23.27,-171.08,4.551853375,-12.7893,1.218147372
8/10/2008,4.797,-173.9,-30.86,-56.04,-272.26,5.400501672,-11.2456,2.940830351
9/10/2008,0,0,-73.02,-66.95,-187.58,-103.0269552,-20.8183,-2.087604012
10/10/2008,0,-476.8,-307.41,-7.53,-286.11,-128.6400595,-19.7543,1.314056127
13/10/2008,-28.694,-174.9,-444.91,-13.75,-201.51,27.70479636,-6.7861,-0.070270118
14/10/2008,-25.794,-39.6,127.12,66.43,-151.18,-59.11811402,-10.5605,-2.283503127
15/10/2008,-11.098,-173.6,-365.52,-10.03,-68.21,-360.5067991,-13.5633,1.158504107
16/10/2008,-14.619,-391.2,-477.27,-20,-139.06,-277.5221968,-12.5847,1.640217892
17/10/2008,-2.112,-178.2,-401.87,-15.71,-246.81,-51.78768557,-14.5205,-0.896246702
20/10/2008,5.386,-172,-281.22,-5.29,-143.29,109.8379783,-3.2638,-0.27430367
