Date,Indonesia.1,India,Thailand,South_Africa,Hungary,Mexico,Poland
26/10/2010,-17.95130708,146.47,145.08,114.925,48.71028275,117.043472,-64.40904926
27/10/2010,-1.118568233,-167.21,0,-11.885,169.2451241,463.5172917,-191.6475495
28/10/2010,116.3701466,-680.6,6.41,-94.51,78.19659279,191.3985605,-17.35137409
29/10/2010,-26.85164466,-381.19,98.94,986.145,11.74134883,-107.5199159,-406.2695484
1/11/2010,69.48335762,288.88,0,-868.319,0,285.9978137,-0.45160161
2/11/2010,21.28851541,146.47,90.37,194.307,52.20106284,0,126.0029876
3/11/2010,22.42655304,343.5,113.53,-20.832,-64.76195641,92.35313316,-84.53086598
4/11/2010,6.733251038,490.2,237.08,-89.428,-16.20389978,-185.4538763,131.9127236
5/11/2010,-17.99167885,0,29,203.889,42.89760775,521.6078343,-417.7310563
8/11/2010,0,113.83,246.03,124.323,24.15923373,184.1808325,-235.185644
9/11/2010,0,12.12,-5.02,121.986,40.67066383,973.2251405,500.4058012
10/11/2010,314.9606299,-38.04,48.42,-138.939,160.9502598,-325.1800973,405.7238938
12/11/2010,-23.52150538,-234.72,0,331.945,37.09888373,561.4296025,-431.6927562
15/11/2010,0,7.4,0,-19.573,-58.86882982,0,584.2358396
16/11/2010,-65.93652213,111.83,0,9.904,151.0879575,26.0277608,268.6535192
17/11/2010,0,0,36.09,-264.207,75.28710023,157.9606035,-380.9398316
18/11/2010,-240.411495,8.71,112.55,135.792,-62.54910227,-368.3225137,-308.7862916
19/11/2010,54.85279301,-5.84,0,-469.199,114.248602,400.2590441,769.3379186
22/11/2010,-79.48057763,-21.97,5.61,125.631,-104.8356999,279.5373189,140.8861721
23/11/2010,50.09462318,45.22,66.56,158.841,-7.203209351,39.82694734,143.8570565
24/11/2010,32.3552382,19.4,-17.08,-353.089,-57.39544664,-393.2461046,-891.7671224
26/11/2010,-211.2754365,-202.85,8.63,-125.096,36.53763848,-128.4531294,127.9691601
29/11/2010,-67.68001775,-82.62,102.76,-58.111,-19.90496862,61.57498821,5.137426149
30/11/2010,43.13682115,-138.84,181.18,-114.499,-17.2106418,-1.443878165,135.1919974
1/12/2010,58.7648298,-10.12,93.24,325.288,11.19248323,124.2486942,622.2130959
2/12/2010,-22.17786649,-2.14,93.04,13.213,-30.27276172,261.4386242,-422.7974809
3/12/2010,156.4406968,38.89,88.46,-45.202,2.853907997,-40.66434979,287.3718295
6/12/2010,6.658528465,-86.12,0,-33.064,66.71149551,710.2631101,-408.971975
7/12/2010,0,-38.17,419.43,115.611,128.8658836,366.3939357,-130.3703216
8/12/2010,0,3.44,51.53,95.128,135.6501429,142.1000153,-302.7057275
9/12/2010,305.9866962,124.44,170.04,10.325,72.41100909,-189.8073891,667.6315185
10/12/2010,-39.92015968,32.39,0,-2.623,64.66997945,456.0073789,52.32309966
13/12/2010,-43.22287488,-99.91,33.6,-101.665,8.093684611,73.03338124,26.10531961
14/12/2010,90.98979139,263.43,8.55,51.154,-228.270726,238.3823589,41.74324234
15/12/2010,15.5159038,71.04,0,68.716,-117.3647853,543.6319535,-22.77886238
16/12/2010,-35.40606329,90.75,-14.11,0,-82.01246811,-1742.161488,466.4496412
17/12/2010,-65.30160487,0,42.36,-158.765,238.4305854,287.8467359,-88.4372207
20/12/2010,-43.10344828,-101,120.19,69.817,123.5644975,32.3033606,65.87949752
21/12/2010,21.01072653,-58.54,279.21,-123.254,-207.9798456,345.2840244,-55.0091611
22/12/2010,0,9.67,22.56,-619.339,-135.9904217,-1722.855565,-131.6356352
23/12/2010,-3.315649867,63.18,33.19,-111.938,0.023754098,1217.879468,172.4643436
27/12/2010,57.53485284,-8.93,205.63,0,-97.94249398,366.9292676,-191.7890212
28/12/2010,16.61681622,-10.08,210.88,31.68,301.4891124,330.3590816,-2.040212892
29/12/2010,2.221728505,55.57,269.2,-652.309,93.9129269,366.1916502,35.38158904
30/12/2010,86.71484158,-134.61,364.57,34.659,2.561432559,-1333.536079,-225.7230088
3/1/2011,65.64307966,39.12,0,62.954,4.142087959,903.4468398,-83.82372835
4/1/2011,111.3213848,15.61,902.1,57.166,94.90653934,929.9002535,28.87070825
5/1/2011,16.69820773,-41.42,64.96,-5.22,56.29807416,303.8647145,196.5376644
6/1/2011,-1149.144254,51.17,354,-23.741,-13.38438552,567.6156991,0.050355848
7/1/2011,1224.648121,112.97,382.5,-45.326,16.75216719,474.8307039,79.66259299
10/1/2011,-148.7931225,158.22,13.38,-0.878,34.87207099,349.8853488,388.2257369
11/1/2011,-41.90560212,364.95,338.68,-77.568,56.26339948,-179.4238548,113.8503969
12/1/2011,-460.1125455,378.4,170.88,-250.128,-12.43525469,238.5431368,-95.00854701
13/1/2011,-105.8667843,329.94,84.69,-557.015,110.6451782,325.1272104,-146.8738132
14/1/2011,-60.74663132,1050.35,688.2,-346.181,1.295853115,9.124906507,-361.9832142
18/1/2011,0,-114.05,238.84,-43.395,44.93189312,-312.659756,-101.0928206
19/1/2011,-246.1912122,-87.7,0,259.094,291.5376105,229.3931643,246.7617888
