Date,Indonesia.1,India,Thailand,South_Africa,Hungary,Mexico,Poland,USD_EM_Index
22/11/2010,-79.48057763,-21.97,5.61,125.631,-104.8356999,279.5373189,140.8861721,-0.030000995
23/11/2010,50.09462318,45.22,66.56,158.841,-7.203209351,39.82694734,143.8570565,0.812628135
24/11/2010,32.3552382,19.4,-17.08,-353.089,-57.39544664,-393.2461046,-891.7671224,-0.261940801
26/11/2010,-211.2754365,-202.85,8.63,-125.096,36.53763848,-128.4531294,127.9691601,0.441191398
29/11/2010,-67.68001775,-82.62,102.76,-58.111,-19.90496862,61.57498821,5.137426149,0.193704863
30/11/2010,43.13682115,-138.84,181.18,-114.499,-17.2106418,-1.443878165,135.1919974,-0.228528197
1/12/2010,58.7648298,-10.12,93.24,325.288,11.19248323,124.2486942,622.2130959,-0.423122148
2/12/2010,-22.17786649,-2.14,93.04,13.213,-30.27276172,261.4386242,-422.7974809,-0.146613225
3/12/2010,156.4406968,38.89,88.46,-45.202,2.853907997,-40.66434979,287.3718295,-0.176871458
6/12/2010,6.658528465,-86.12,0,-33.064,66.71149551,710.2631101,-408.971975,-0.013238576
7/12/2010,0,-38.17,419.43,115.611,128.8658836,366.3939357,-130.3703216,-0.045402713
8/12/2010,0,3.44,51.53,95.128,135.6501429,142.1000153,-302.7057275,0.289613843
9/12/2010,305.9866962,124.44,170.04,10.325,72.41100909,-189.8073891,667.6315185,0.069365933
10/12/2010,-39.92015968,32.39,0,-2.623,64.66997945,456.0073789,52.32309966,-0.030590523
13/12/2010,-43.22287488,-99.91,33.6,-101.665,8.093684611,73.03338124,26.10531961,-0.126966836
14/12/2010,90.98979139,263.43,8.55,51.154,-228.270726,238.3823589,41.74324234,-0.232438433
15/12/2010,15.5159038,71.04,0,68.716,-117.3647853,543.6319535,-22.77886238,0.256774872
16/12/2010,-35.40606329,90.75,-14.11,0,-82.01246811,-1742.161488,466.4496412,0.2035855
17/12/2010,-65.30160487,0,42.36,-158.765,238.4305854,287.8467359,-88.4372207,-0.085658671
20/12/2010,-43.10344828,-101,120.19,69.817,123.5644975,32.3033606,65.87949752,0.103765351
21/12/2010,21.01072653,-58.54,279.21,-123.254,-207.9798456,345.2840244,-55.0091611,-0.252638243
22/12/2010,0,9.67,22.56,-619.339,-135.9904217,-1722.855565,-131.6356352,-0.201961394
23/12/2010,-3.315649867,63.18,33.19,-111.938,0.023754098,1217.879468,172.4643436,-0.021133413
27/12/2010,57.53485284,-8.93,205.63,0,-97.94249398,366.9292676,-191.7890212,-0.086893683
28/12/2010,16.61681622,-10.08,210.88,31.68,301.4891124,330.3590816,-2.040212892,-0.093394923
29/12/2010,2.221728505,55.57,269.2,-652.309,93.9129269,366.1916502,35.38158904,-0.148326453
30/12/2010,86.71484158,-134.61,364.57,34.659,2.561432559,-1333.536079,-225.7230088,-0.285358442
3/1/2011,65.64307966,39.12,0,62.954,4.142087959,903.4468398,-83.82372835,-0.494566672
4/1/2011,111.3213848,15.61,902.1,57.166,94.90653934,929.9002535,28.87070825,0.264398446
5/1/2011,16.69820773,-41.42,64.96,-5.22,56.29807416,303.8647145,196.5376644,-0.095166615
6/1/2011,-1149.144254,51.17,354,-23.741,-13.38438552,567.6156991,0.050355848,0.312638027
7/1/2011,1224.648121,112.97,382.5,-45.326,16.75216719,474.8307039,79.66259299,0.074253502
10/1/2011,-148.7931225,158.22,13.38,-0.878,34.87207099,349.8853488,388.2257369,0.143273917
11/1/2011,-41.90560212,364.95,338.68,-77.568,56.26339948,-179.4238548,113.8503969,-0.371710676
12/1/2011,-460.1125455,378.4,170.88,-250.128,-12.43525469,238.5431368,-95.00854701,-0.475480651
13/1/2011,-105.8667843,329.94,84.69,-557.015,110.6451782,325.1272104,-146.8738132,-0.017997056
14/1/2011,-60.74663132,1050.35,688.2,-346.181,1.295853115,9.124906507,-361.9832142,0.006176869
18/1/2011,0,-114.05,238.84,-43.395,44.93189312,-312.659756,-101.0928206,-0.149416801
19/1/2011,-246.1912122,-87.7,0,259.094,291.5376105,229.3931643,246.7617888,0.05523136
20/1/2011,108.1319651,-137.59,0,-5.516,-207.9276114,571.7207744,119.2698962,0.285798266
21/1/2011,-15.44742359,3.49,249.97,-396.646,-154.9657019,77.69751413,771.2690106,-0.155411262
24/1/2011,0,-138.48,9.79,-24.552,21.63598161,194.3339341,375.5189642,-0.060591767
25/1/2011,-180.3296825,-50.4,187.36,471.321,86.09002613,-27.65505558,-383.0747532,0.130934379
26/1/2011,159.3978304,0,16.11,-270.971,97.87648965,200.9652414,-113.6859574,-0.184208785
27/1/2011,358.8437258,150.08,216.98,20.733,-57.44118381,-659.9335189,-7.428631697,0.046350338
28/1/2011,174.9529399,-121.05,271.84,-57.927,-52.87094983,131.7676245,327.726834,0.318436718
31/1/2011,43.09868494,303.43,32.99,279.295,44.40127802,-10.58679345,292.5812406,0.115254948
1/2/2011,2.212878956,61.07,475.57,168.143,57.19207209,172.1398879,93.43808747,-0.515964972
2/2/2011,0,-326.88,273.62,101.165,710.5475726,-441.3118297,508.6416696,-0.148412225
3/2/2011,0,137.77,72.99,130.166,86.09602818,1340.224147,-44.88384279,0.06991242
4/2/2011,-61.15867897,67.56,368,-126.273,59.15839685,1635.240975,1059.859671,-0.073008909
7/2/2011,144.0857813,-21.94,-2.9,-139.918,286.3356466,0,-177.5411559,-0.172807871
8/2/2011,89.70621216,-181.16,451.78,281.861,-95.01623294,132.8509009,-33.33450075,-0.136683619
9/2/2011,87.34602464,151.03,80.74,-143.699,-381.8101062,127.3644681,96.28093363,0.387621831
10/2/2011,44.77779022,-167.12,153.98,-40.076,-35.47538362,-926.0289735,-129.2705768,0.187072446
11/2/2011,137.6608842,54.01,182.85,6.031,-110.9078426,36.32519988,749.9394401,0.185341285
14/2/2011,-50.45974434,274.44,0,255.935,248.0688289,668.3802641,-287.3056552,-0.039763038
15/2/2011,0,0,-27.58,-228.833,-102.3517956,470.9104148,-336.0394068,0.119772776
16/2/2011,-125.9559154,83.23,9.77,-1.38,-70.82790698,327.7019455,611.180599,-0.154232686
17/2/2011,70.89804186,82.66,175.15,172.253,32.94037736,96.99309427,-295.1525719,-0.191873648
18/2/2011,90.19165727,-48.03,0,-56.502,-34.70649821,369.1195424,381.006817,-0.200892508
22/2/2011,0,-20.15,277.05,100.856,304.3260697,287.6693689,99.34054611,0.421696263
23/2/2011,306.0417843,-65.58,23.03,-410.598,153.5273449,29.03294559,-40.64703443,0.172768136
24/2/2011,-19.15924715,-55.85,137.94,-12.173,10.59835076,-443.939475,-111.9457829,0.056355997
25/2/2011,64.49422946,-5.53,159.04,18.278,-30.15949367,54.0678211,775.5010366,-0.182449439
28/2/2011,-171.1824056,-375.52,0,97.423,-324.4804872,138.3567416,564.3557447,-0.093158395
1/3/2011,23.84196185,386.55,480.23,-9.611,98.50876028,19.12492168,-196.4439841,-0.143736164
2/3/2011,52.20154335,0,-11.67,4.071,321.0225259,448.2225529,50.07848746,0.028657248
3/3/2011,-114.6684832,260.56,0,-112.472,32.644332,1101.152815,115.6587246,-0.276047325
4/3/2011,35.25932666,102.2,275.57,37.544,-65.57851662,945.3542441,-1074.209879,-0.1296466
7/3/2011,91.03322713,-59.43,115.17,-79.61,442.8460664,29.54368207,-248.7102791,-0.010053831
8/3/2011,109.2398726,108.3,328.98,-5.522,-51.76851138,429.9557894,683.221265,0.023956399
9/3/2011,111.5664845,-150.47,-6.41,-376.343,-146.330605,194.9648005,405.8926264,-0.151749482
10/3/2011,234.5440055,100.95,86.8,35.478,27.11407114,-635.7319477,-122.5092758,0.22486656
11/3/2011,50.10248235,211.37,152.52,-39.838,23.46941449,580.7602096,418.7795221,-0.057291891
14/3/2011,-26.24671916,20.44,126.81,-112.606,0,432.2379901,-475.3266157,-0.057324733
15/3/2011,-20.50580998,34.1,-16.6,-621.297,0,180.6754049,-14.43955816,0.384494095
16/3/2011,56.954095,188.44,0,401.916,-90.87608319,-833.0831585,-47.72657919,0.121308765
17/3/2011,-200.3871115,-239.16,151.76,-71.107,0,204.0640608,160.8707642,0.049269603
18/3/2011,23.93707968,-14.86,311.01,-92.257,-188.2996041,-11.39848252,306.0593383,-0.213001926
21/3/2011,-145.4253979,-112.6,26.85,0,32.09678093,0,-123.9713206,-0.295010504
22/3/2011,0,-243.39,296.65,251.485,-46.70621974,-182.2550894,227.3076111,-0.109662801
23/3/2011,222.4005503,52.86,-3.04,13.156,75.90008418,267.4577544,247.3321919,0.107096461
24/3/2011,478.3207158,97.32,224.37,433.783,75.55591189,-3275.914469,-362.7525074,-0.184306991
25/3/2011,0,-36.43,73.96,249.8,72.51950119,1342.012229,39.78045872,-0.126707269
28/3/2011,113.5581555,-177,0,-32.49,-35.6786505,351.6484068,-776.0452256,0.120707838
29/3/2011,109.0575135,-172.42,301.76,49.349,24.059681,359.2193882,-528.3524092,-0.000964228
30/3/2011,25.2293578,12.93,16.59,-51.008,365.1603779,184.411206,985.6223176,-0.288292084
31/3/2011,48.23151125,0,102.24,284.813,-7.325275431,-49.23230904,-632.5688557,-0.144942521
1/4/2011,27.59889604,0,493.25,427.645,1.219408385,131.3744957,-425.7422235,-0.357554589
4/4/2011,63.48839894,-55.26,410.3,136.039,127.0194646,706.991704,814.2968143,-0.045905228
5/4/2011,118.965119,67.7,97.34,-25.737,-117.0109491,1006.263276,100.7798868,-0.076195174
6/4/2011,-9.245348434,-480.7,0,41.737,91.82831293,682.5736151,202.7782789,-0.185055375
7/4/2011,-101.5228426,-196.81,430.15,193.114,-273.87012,-1234.51784,-72.16792296,-0.003357967
8/4/2011,150.2369121,389.13,372.36,-7.662,-20.82412553,717.7169397,282.9998903,-0.298659726
11/4/2011,67.02877615,226.81,501.03,44.277,444.0700087,298.8403599,-152.9670729,0.08839986
12/4/2011,192.7738659,0,515.75,143.893,28.95341649,122.1937199,963.5796197,0.280970008
13/4/2011,115.5001155,116.16,0,122.026,139.0094985,-297.1002197,41.79909608,-0.097361237
14/4/2011,208.8622202,0,0,141.47,28.7018249,-466.009348,35.09415954,-0.171343221
15/4/2011,-85.37148131,77.5,0,305.245,-175.1845521,4.803961041,1390.432369,-0.182945296
18/4/2011,-34.57017746,76.18,161.68,-35.69,26.18841591,-38.88044612,-543.1806026,0.306493766
19/4/2011,-1.151012891,-255.47,339.28,125.137,-57.06236674,325.7980568,-89.42366757,-0.243772316
20/4/2011,-52.0110957,41.63,-48.18,180.012,250.5780008,-700.3888674,-111.1732865,-0.393174244
21/4/2011,-186.5585168,159.36,322.56,60.853,61.38803324,0,-402.9487747,-0.272348608
22/4/2011,0,0,202.2,0,242.3306554,0,-694.1467011,0.1017942
25/4/2011,110.1704743,148.29,373.51,0,0,185.2283444,0,0.145131646
26/4/2011,56.6932778,29.32,581.56,144.608,-282.8140087,244.6720816,802.9008654,-0.110931938
27/4/2011,193.5558646,-22.68,87.61,0,55.94528386,465.4163242,352.6978146,-0.14069797
28/4/2011,187.6238201,-322.81,426.58,215.849,63.04428563,-39.85124324,-23.84823848,-0.189659458
29/4/2011,119.1171318,-99.31,149.5,15.808,39.05776478,815.2434519,-101.3292164,-0.259777036
2/5/2011,0,94.5,0,0,14.90763097,-162.261985,401.6771172,-0.042757191
3/5/2011,-10.53124269,262.43,414.67,137.631,76.23943347,1104.056027,0.526751449,0.231922357
4/5/2011,-40.92131416,212.7,19.46,89.412,-51.74844599,265.411189,206.0180843,0.270882505
