,period,variable,value
298,2011-10-27,Short Term,9.765956936
299,2011-10-28,Short Term,10.24007596
300,2011-10-31,Short Term,9.765948911
301,2011-11-01,Short Term,10.12390171
302,2011-11-02,Short Term,10.29726113
303,2011-11-03,Short Term,11.15637819
304,2011-11-04,Short Term,11.35313929
305,2011-11-07,Short Term,11.51800016
306,2011-11-08,Short Term,11.82101117
307,2011-11-09,Short Term,11.77429071
308,2011-11-10,Short Term,11.58217354
309,2011-11-14,Short Term,11.92699604
310,2011-11-15,Short Term,12.05264942
311,2011-11-16,Short Term,12.04495012
312,2011-11-17,Short Term,11.72715578
313,2011-11-18,Short Term,11.48560599
314,2011-11-21,Short Term,11.24057628
315,2011-11-22,Short Term,11.3980985
316,2011-11-23,Short Term,11.48603917
317,2011-11-25,Short Term,11.62054822
318,2011-11-28,Short Term,11.83398913
319,2011-11-29,Short Term,11.6760055
320,2011-11-30,Short Term,11.52176491
321,2011-12-01,Short Term,11.55548189
322,2011-12-02,Short Term,11.73013787
323,2011-12-05,Short Term,11.36812968
324,2011-12-06,Short Term,11.39977681
325,2011-12-07,Short Term,11.40739517
326,2011-12-08,Short Term,11.10720527
327,2011-12-09,Short Term,10.90452514
328,2011-12-12,Short Term,10.41030894
329,2011-12-13,Short Term,10.11906805
330,2011-12-14,Short Term,10.0758127
331,2011-12-15,Short Term,10.13238408
332,2011-12-16,Short Term,10.161434
333,2011-12-19,Short Term,10.46489327
334,2011-12-20,Short Term,9.686478329
335,2011-12-21,Short Term,9.794251617
336,2011-12-22,Short Term,9.795297962
337,2011-12-23,Short Term,10.29711791
338,2011-12-27,Short Term,11.20959105
339,2011-12-28,Short Term,10.67234227
340,2011-12-29,Short Term,10.7891638
341,2011-12-30,Short Term,10.90959396
342,2012-01-03,Short Term,11.11245881
343,2012-01-04,Short Term,10.71960259
344,2012-01-05,Short Term,10.10563234
345,2012-01-06,Short Term,9.650374641
346,2012-01-09,Short Term,9.234279497
347,2012-01-10,Short Term,9.330476668
348,2012-01-11,Short Term,9.68641757
349,2012-01-12,Short Term,9.543453148
350,2012-01-13,Short Term,11.5707129
351,2012-01-17,Short Term,11.37958236
352,2012-01-18,Short Term,10.30807533
353,2012-01-19,Short Term,10.08736316
354,2012-01-20,Short Term,10.40302864
355,2012-01-23,Short Term,10.96978801
356,2012-01-24,Short Term,10.3578082
357,2012-01-25,Short Term,10.18568943
358,2012-01-26,Short Term,10.53386452
359,2012-01-27,Short Term,10.46461886
360,2012-01-30,Short Term,10.80447393
361,2012-01-31,Short Term,10.47766789
362,2012-02-01,Short Term,11.27880086
363,2012-02-02,Short Term,11.43975481
364,2012-02-03,Short Term,11.06045833
365,2012-02-06,Short Term,10.9971668
366,2012-02-07,Short Term,10.34527257
367,2012-02-08,Short Term,9.746280311
368,2012-02-09,Short Term,9.553664283
369,2012-02-10,Short Term,9.811818
370,2012-02-13,Short Term,9.595517786
371,2012-02-14,Short Term,8.957316474
372,2012-02-15,Short Term,8.492282669
373,2012-02-16,Short Term,8.257213502
374,2012-02-17,Short Term,8.039333898
375,2012-02-21,Short Term,8.273319004
376,2012-02-22,Short Term,8.162080691
377,2012-02-23,Short Term,8.276176711
378,2012-02-24,Short Term,8.957255721
379,2012-02-27,Short Term,8.221320528
380,2012-02-28,Short Term,8.590773354
381,2012-02-29,Short Term,8.887566941
382,2012-03-01,Short Term,9.034473442
383,2012-03-02,Short Term,9.141423674
384,2012-03-05,Short Term,8.926427636
385,2012-03-06,Short Term,8.686292299
386,2012-03-07,Short Term,8.975184352
387,2012-03-08,Short Term,10.05227027
388,2012-03-09,Short Term,9.648117491
389,2012-03-12,Short Term,10.35428376
390,2012-03-13,Short Term,10.20910938
391,2012-03-14,Short Term,10.33091356
392,2012-03-15,Short Term,10.01774191
393,2012-03-16,Short Term,9.753908854
394,2012-03-19,Short Term,9.177330369
395,2012-03-20,Short Term,9.147732598
396,2012-03-21,Short Term,9.319937022
397,2012-03-22,Short Term,9.44596685
